fifa_code,country_name,phase_reached,matches,pts,gf,gd,yellows,reds
ARG,Argentina,Round of 16,4,4,6,-3,11,0
AUS,Australia,Group Stage,3,1,2,-3,7,0
BEL,Belgium,Third Place,7,18,16,10,11,0
BRA,Brazil,Quarter Finals,5,10,8,5,7,0
COL,Colombia,Round of 16,4,6,6,3,9,1
CRC,Costa Rica,Group Stage,3,1,2,-3,6,0
CRO,Croatia,Runner-up,7,18,14,5,15,0
DEN,Denmark,Round of 16,4,5,3,1,6,0
EGY,Egypt,Group Stage,3,0,2,-4,5,0
ENG,England,Fourth Place,7,12,12,4,8,0
ESP,Spain,Round of 16,4,5,7,1,2,0
FRA,France,Winner,7,19,14,8,12,0
GER,Germany,Group Stage,3,3,2,-2,3,1
IRN,Iran,Group Stage,3,4,2,0,7,0
ISL,Iceland,Group Stage,3,1,2,-3,3,0
JPN,Japan,Round of 16,4,4,6,-1,5,0
KOR,South Korea,Group Stage,3,3,3,0,10,0
KSA,Saudi Arabia,Group Stage,3,3,2,-5,1,0
MAR,Morocco,Group Stage,3,1,2,-2,8,0
MEX,Mexico,Round of 16,4,6,3,-3,9,0
NGA,Nigeria,Group Stage,3,3,3,-1,4,0
PAN,Panama,Group Stage,3,0,2,-9,11,0
PER,Peru,Group Stage,3,3,2,0,5,0
POL,Poland,Group Stage,3,3,2,-3,3,0
PRT,Portugal,Round of 16,4,5,6,0,7,0
RUS,Russia,Quarter Finals,5,9,11,4,7,1
SEN,Senegal,Group Stage,3,4,4,0,6,0
SRB,Serbia,Group Stage,3,3,2,-2,9,0
SUI,Switzerland,Round of 16,4,5,5,0,9,1
SWE,Sweden,Quarter Finals,5,9,6,2,8,0
TUN,Tunisia,Group Stage,3,3,5,-3,4,0
URU,Uruguay,Quarter Finals,5,12,7,4,3,0
