fifa_code,country_name,phase_reached,matches,pts,gf,gd,yellows,reds
ALG,Algeria,Round of 16,4,4,7,0,6,0
ARG,Argentina,Runner-up,7,18,8,4,8,0
AUS,Australia,Group Stage,3,0,3,-6,6,0
BEL,Belgium,Quarter Finals,5,12,6,3,7,1
BIH,Bosnia and Herzegovina,Group Stage,3,3,4,0,3,0
BRA,Brazil,Fourth Place,7,13,11,-3,14,0
CHI,Chile,Round of 16,4,6,6,2,7,0
CIV,Ivory Coast,Group Stage,3,3,4,-1,7,0
CMR,Cameroon,Group Stage,3,0,1,-8,4,1
COL,Colombia,Quarter Finals,5,12,12,8,5,0
CRC,Costa Rica,Quarter Finals,5,10,5,3,11,1
CRO,Croatia,Group Stage,3,3,6,0,4,1
ECU,Ecuador,Group Stage,3,4,3,0,5,1
ENG,England,Group Stage,3,1,2,-2,4,0
ESP,Spain,Group Stage,3,3,4,-3,3,0
FRA,France,Quarter Finals,5,10,10,7,5,0
GER,Germany,Winner,7,19,18,14,6,0
GHA,Ghana,Group Stage,3,1,4,-2,6,0
GRE,Greece,Round of 16,4,4,3,-2,7,1
HON,Honduras,Group Stage,3,0,1,-7,6,1
IRN,Iran,Group Stage,3,1,1,-3,4,0
ITA,Italy,Group Stage,3,3,2,-1,3,1
JPN,Japan,Group Stage,3,1,2,-4,4,0
KOR,South Korea,Group Stage,3,1,3,-3,6,0
MEX,Mexico,Round of 16,4,7,5,2,8,0
NED,Netherlands,Third Place,7,18,15,11,11,0
NGA,Nigeria,Round of 16,4,4,3,-2,3,0
PRT,Portugal,Group Stage,3,4,4,-3,2,1
RUS,Russia,Group Stage,3,2,2,-1,4,0
SUI,Switzerland,Round of 16,4,6,7,0,3,0
URU,Uruguay,Round of 16,4,6,4,-2,8,1
USA,United States,Round of 16,4,4,5,-1,4,0
